,thread_title,thread_id
0,Vaccine Friendly Pediatrician??,a33623824
1,2 month vaccinations?,a69743831
2,Vaccines,a70500256
3,2Yr Old DD Diagnosed with Juvenile Rheumatoid Arthritis,a70473092
4,Who's not vaccinating??,a45895804
5,Watch out for this side effect at 2 month vaccinations,a66704302
7,Vaccine question- read before responding,a65936110
8,Outdoor cat no vaccinations. Am I crazy ??,a69132074
9,Ebola vaccine (with poll),a52689919
10,Requiring family & friends get vaccinated before spending time with LO?,a58362259
11,OT: US Gov Study: Nations that require more vaccine doses tend to have more infant deaths,a50223946
12,Asking family members to get the TDap vaccine..,a63619504
13,Question for those who have done a delayed vaccine schedule,a71168512
14,Whooping Cough,a68116054
15,"""First time mom with vaccine questions""",a62228467
16,Anti-vaxx rant,a69331325
17,GA contingent upon vaccinating?,a56324008
18,2 month checkup vaccinations,a69450362
19,vaccinations - do it or don't!?!,a66086740
21,"""Parents who don't vaccinate kids tend to be affluent, better educated, experts say""",a71224588
22,Declining Vaccine Shots,a50521075
23,Newborn who may have the measles - from the mothers perspective.,a55198159
25,are you for or against vaccinations,a57053752
26,Weird friend convo about vaccines?,a67258573
27,HPV vaccine,a55375348
28,TDAP (Whooping Cough Vaccine),a69760850
29,Mucus-y diaper after two month vaccines,a65204746
30,HPV vaccine = child abuse,a58296862
31,Tdap vaccine?,a69536147
32,Are you vaccinating or not?,a54903940
33,Whooping cough vaccine yay or nay??,a64969582
34,**Trigger*** VACCINATIONS!!!,a73120786
35,"Carseat Nazis,Anti Vaxxers,And Mom shame Oh my!",a68051287
36,To vaccinate or not vaccinate;; that is the question *poll*,a45477736
37,"VACCINES: Are you doing them, skipping, them or getting some?",a62003272
38,Vaccinations... islamic perspective.,a62998825
39,**Touchy subject** vaccinations....,a69750311
40,Not a vax debate,a71257621
41,Will any of you opt out of the Hep B vaccination or the Vitamin K shot???,a47115613
42,The TRUTH about VACCINES,a66161854
43,Just wondering - how many vaccines did your LO get at their 1 year well visit,a64629988
44,Antibiotics and vaccines,a68117695
45,Vaccinations for visitors,a51419107
46,2 month vaccines,a70070621
47,A letter to the parents who decided not to vaccine,a55061782
48,Shots - NOT A DEBATE,a63625042
49,Vaccine leaked from injection site,a70527784
51,2 month vaccines morning after pic.,a67749022
52,Can live vaccine shed to newborn?,a42444793
53,Dtap vaccine while pregnant?,a70223198
54,Pertussis Vaccine,a56362720
55,Whooping cough vaccine,a71069554
57,A WWYD,a68913388
58,To Vaccinate or not to Vaccinate?,a43199146
59,MTHFR?,a70632607
60,The dtap vaccine sucks...,a64409272
63,To Vaccinate or Not to Vaccinate!,a69858716
64,Vaccines,a67709785
65,HPV vaccine responsible for the death of a 12 year old girl...,a52358806
66,BTDT: is this a rare vaccine reaction?,a70275002
67,Small Blessings....,a71292256
68,Mom sick two days after baby gets vaccines?,a63022294
71,To Flu Vaccine or not....?,a67469797
72,Tdap Vaccine (Poll),a63824272
75,On the fence about Vaccinations!,a52057900
77,Tdap vaccine,a68747149
78,Vaccinations during pregnancy?,a60159979
80,New York rules children can not attend public school without vaccinations...,a50656414
81,Hepatitis B Vaccine,a64921321
82,Vaccines,a64505740
83,Thoughts on vaccinations?,a67919158
84,TDAP vaccine not approved for pregnant women?,a57302989
85,Vaccines - mellow and less hungry?,a67129144
87,Enough with circumcision and vaccine debates. .how do you feel about blood?,a59592700
88,Vaccinations?,a65358517
89,Epic OCD meltdown,a69992102
90,2 month old vaccines,a70643203
91,Vaccinations (sorry),a70779838
93,Wrong vaccines given.,a65134384
94,OT Vaccinate or anti-vaccination...what do you choose?,a51394465
95,Anti-vaccination stronghold in N.C. hit with state’s worst chickenpox outbreak in 2 decades,a70569391
96,Vaccinated + non?,a70396529
97,Rotavirus Vaccine,a71228167
98,Hpv vaccine question,a59881435
99,ONLY FOR THE PARENTS WHO CHOOSE NOT TO VACCINATE OR WHO HAVE DONE MUCH RESEARCH! **somewhat a RANT!,a49794580
100,my baby is different after vaccinations!,a28828835
101,Is it just me who thinks it's absurd....,a59224555
102,2 months vaccines - how did your baby react?,a70333085
103,Flu Booster Shot,a71099536
104,Email from Pedi. about swine flu vaccine(LONG) very informative,a16710995
105,Flu shots? Advice please.,a70414511
107,Baby can't live in a bubble but....(possibly sensitive) - LONG,a55315819
108,4 month vaccinations,a65301835
109,Crunchy moms,a66553156
110,BCG vaccination-my poor baby!,a51107875
111,**Update** Dr Mullan weighs in on vaccinations & MTHFR,a42277897
113,Whooping cough and flu vaccine?,a61569250
114,Going out after vaccines,a70296995
115,MMR vaccine,a62432590
116,4 month vaccines?,a64770319
117,Vaccines,a63240988
118,Pressured to continue vaccinating after bad reaction,a69650498
120,Vaccination,a69757307
121,Those who got the whooping cough vaccine,a70181132
122,A good read for anyone questioning whether or not to vaccinate,a63526828
123,Vaccines,a68892511
125,Vaccination movie review.,a64176232
126,Vaccinations as a belief,a55194322
128,Just found out that DH's cousin does not vaccinate her children!,a55178473
130,Flu vaccine,a67339468
131,2 month vaccine side effects,a69079483
132,Those who had whooping cough vaccine during pregnancy,a59287978
133,to vaccinate or not to vaccinate...POLL and opinions please,a29974303
134,Really?,a61103134
135,To Vaccinate or Not to Vaccinate?,a61874059
136,to vaccinate or not to vaccinate?,a54229678
137,flu vaccine? FTM,a67753207
139,Disagreements on health-related childcare issues,a66116485
140,I only received the whooping cough vaccine...,a64100146
141,Poll - Tylenol before vaccination?,a66400717
142,To vaccinate or not.,a68453473
143,For those that do not vaccinate,a64168990
144,Flu shot,a70579033
145,MMR vaccine for a toddler who is really small for his age,a69534860
146,Tdap vaccine,a68903458
147,Please vaccinate your kids,a48119500
149,Asking family to get vaccines to be around baby?,a56521345
150,Vaccinations?,a55072729
151,Positive comments on vaccines please,a67346824
152,Anyone up for a post vaccine debate?,a63739954
153,6 month vaccines,a69217619
154,I want to vaccinate but my husband does not...,a55275100
155,NAD - vaccine question,a56680804
156,Help me respond small UD pg 4,a71332336
157,Anyone else?,a68046595
160,"6 month olds getting flu vaccine, FTM questions...",a59439451
161,Did you get LO the Rotavirus Vaccine?,a59453548
162,How to ask those who will be around baby to be up to date on vaccines? NOT A DEBATE,a73126552
163,vaccinations cause autism?!?,a58918999
164,Want to know what Nov 15 thinks of the Dtap/whooping cough vaccine?,a58547887
165,Am I Crazy? Trip to Europe,a70149629
166,Rotavirus vaccine.. Upset baby : (,a60819196
167,Who’s Planning on Getting the Flu Vaccine? (Not a vaccine debate),a70149158
168,Did some of you do select or delayed vaccination,a51922762
169,Vaccine Rant,a60041320
170,Opinions about vacccines,a67946554
171,Vaccinate or not,a66838027
172,Ugh sister in law rant,a67908823
173,Vaccine shot,a66310402
174,Pentacel or seperate?,a37653391
175,Medical error = extra vaccines!,a24197951
176,Vaccines and family,a70188683
177,Flu Shot,a70405004
178,Flu vaccine (POLL),a53220217
179,How long do vaccines last for?,a69396662
181,Won’t deep sleep after vaccines,a70733410
182,OT: requiring vaccinations to receive government assistance? POLL,a56339503
183,"4 month appt. Solids, sleep, and vaccines. Oh my!",a70074611
184,Resentment over vaccines,a64595170
185,Vaccines!,a63991633
186,"I'm not trying to start a war but..,",a53359750
187,Vaccine question *trigger topic not here to debate but have a serious question*,a59630395
188,Vaccinations,a66606544
190,Anyone get the tdap vaccine while pregnant? Did all other caregivers get it too?,a58837534
191,Two month vaccines -rotavirus hell,a70311383
192,2 month vaccines,a67413439
193,2 month check-up vaccines,a73233178
194,hate the 2 month vaccines :(,a55779847
195,Will your child be vaccinated ?,a66309199
196,MMR vaccine does indeed cause Autism,a44345206
197,Possible vaccinations now cause DNA changes...,a67924387
198,Did you LO have any side effects from 2 month vaccines?,a59736142
199,My Inner Musings,a69769559
201,Ask someone who doesn't vaccinate...,a46035883
202,"LOOOONG time, no see! Question about HPV vaccine?",a69180296
203,Vaccines & School,a55060687
204,Vaccinations,a62486581
205,Crunchy.,a69800426
207,Not sure if this is allowed...,a73161280
208,People who don't vaccinate tend to live in clusters,a54849799
209,Want to know your opinion on vaccines,a70197284
210,BTDT ELECTIVE ULTRASOUND,a68413726
211,I think my kid has the flu and I’m worried,a70613992
212,MIL/FIL refuse to get the TDAP vaccine!,a68563015
213,How vaccines cause autism,a47472352
214,Sleepy after vaccines ?,a67159597
215,Did your husband get the tdap vaccine?,a70051313
216,Let me,a71373418
218,TDAP -Whooping Cough Drama,a69591470
219,fever 3 days after vaccine ?,a29060909
222,This is way long but if you are planning to vaccinate......,a3584845
224,SO refusing flu shot,a70441379
225,Anyone sick with the flu?,a71151166
226,I have no say...,a71218330
230,DTaP Vaccination Reaction. Anyone else?,a69427127
231,Are all of you getting the whooping cough vaccine,a69143738
232,Dr. Office gave my baby the wrong vaccine,a63735031
233,"Stork bite, never heard this befor!?",a69868181
234,"my mom, my grandmother, my son and me.",a71148067
