,c_id,user_name,thread_id,comment_date,is_reaction_comment,reactions_kind,personas_kind
0,c2001516448,plum82,a611455,07/13/2008,False,,
1,c2001971856,~*NicoleF*~,a800945,08/07/2008,True,lump,author_child
2,c2001990373,Lauren&MichaelsMommy,a810115,08/08/2008,True,"reaction, regression","author, author_child"
3,c2002059062,thebabymonkeysmommy,a828545,08/13/2008,True,reaction,author_child
4,c2002248001,jcailte,a7075,08/20/2008,True,fever,author_child
5,c2002278400,bewbauch,a907415,08/21/2008,False,,
6,c2002340116,Danielle+Al,a929125,08/24/2008,True,fussy,author_child
7,c2002701341,Qbrown'smom,a1061905,09/05/2008,True,reaction,author
8,c2003152641,Sosha8281,a1221935,09/17/2008,True,rash,author_child
9,c2003398825,alonginetti,a1305015,09/23/2008,True,fever,author_child
10,c2003401678,gardinera,a1305015,09/23/2008,True,fussy,author_child
11,c2003662868,jessicaneutron,a1373195,09/26/2008,False,,
12,c2004057116,canarybird,a1442785,10/01/2008,True,lump,unclear
13,c2004295750,Jonathans Mommy 7508,a1461625,10/02/2008,True,fussy,author_child
14,c2006365320,mommala2007,a1745625,10/15/2008,True,fever,author
15,c2008378961,outnumbered*by*babes,a1921065,10/22/2008,True,fussy,author_child
16,c2008867818,SwingSweetheart,a1253685,10/24/2008,True,reaction,author
17,c2008886652,shelleyrod37,a1947675,10/24/2008,True,fever,author_child
18,c2009414379,outnumbered*by*babes,a1921065,11/03/2008,True,reaction,author_child
19,c2009416472,folkchick,a2197605,11/03/2008,True,regression,author
20,c2009779099,mindyjo1976,a2358125,11/08/2008,True,fussy,author_child
21,c2009786647,kyerasmom07,a2360655,11/08/2008,True,lump,unclear
22,c2010072481,ilbster,a2481125,11/13/2008,True,reaction,author_child
23,c2010089476,Shelsi,a2500375,11/13/2008,False,,
24,c2010105064,Noob Mama,a1890785,11/13/2008,True,fever,author_child
25,c2010151410,naomifaye,a2526615,11/14/2008,True,lethargy,author_child
26,c2010502459,farner22,a2657125,11/20/2008,True,fussy,unclear
27,c2010763736,NaturalMommy2008,a2808575,11/25/2008,False,,
28,c2010887260,Librarierin,a2862415,11/27/2008,True,fever,unclear
29,c2011270135,kavolier,a3066175,12/05/2008,False,,
30,c2011496858,MomtoA&L,a3132895,12/09/2008,True,reaction,author_child
31,c2011996397,SophieGrace'sMom,a3359925,12/16/2008,True,fever,unclear
32,c2012028860,Mrs.MJKeenan,a3400165,12/17/2008,True,reaction,author_child
33,c2012119427,sallydot,a3430575,12/18/2008,True,"lethargy, fussy",author_child
34,c2012474303,Marla1106,a3535255,12/21/2008,True,reaction,author_child
35,c2012609532,OneRockstar,a3566895,12/23/2008,True,reaction,author_child
36,c2013371589,MySeaPod,a3804495,01/01/2009,True,reaction,author_child
37,c2013603793,Erimaca,a3844215,01/03/2009,True,"pain, fussy","unclear, author"
38,c2014052792,MySeaPod,a3982115,01/07/2009,True,reaction,unclear
39,c2014223397,Arfy77,a4075435,01/08/2009,True,,author_child
40,c2014296775,MaryJo'sMom,a4060245,01/09/2009,False,,
41,c2014320252,iamjean9,a4049215,01/09/2009,False,,
42,c2015023677,cincinancy,a4344555,01/15/2009,True,fussy,unclear
43,c2015203039,vyckie72,a4395415,01/16/2009,False,,
44,c2015476299,aluminumfree,a4422545,01/19/2009,True,reaction,author_child
45,c2016149562,beckysoontobmommy,a4667685,01/24/2009,False,,
46,c2016302084,mrsjenxray,a4699365,01/25/2009,True,reaction,author_child
47,c2016319100,pitagirl77,a4699365,01/25/2009,True,"fever, diarrhea",author_child
48,c2016401321,folkchick,a4765315,01/26/2009,True,seizure,unclear
49,c2016742060,TheyAreMyEverything,a4871935,01/28/2009,True,reaction,author_child
50,c2017894856,afmom12818,a5228145,02/06/2009,True,reaction,author_child
51,c2018200752,crys82,a5263905,02/09/2009,True,reaction,author_child
52,c2018690494,SweetCrlinaGirl,a5465105,02/12/2009,False,,
53,c2018698429,RandallGal,a5446455,02/12/2009,False,,
54,c2020277114,mfp123,a5906385,02/24/2009,False,,
55,c2021231774,sweet_mommy08,a6169875,03/01/2009,True,allergic reaction,unclear
56,c2022417813,D&L'sMum,a6471055,03/09/2009,False,,
57,c2022482222,Maguiremom,a6460525,03/10/2009,True,fussy,author_child
58,c2022922325,Kimmyksu,a6623535,03/12/2009,True,"fever, fussy",author_child
59,c2023941406,rinsbaby2,a6902315,03/19/2009,True,reaction,author_child
60,c2026360793,Angie54487,a7424285,03/31/2009,False,,
61,c2027398351,masonmirandamom,a7539245,04/07/2009,True,reaction,author_child
62,c2029261814,brydgette,a3430575,04/18/2009,True,lethargy,"unclear, author_child"
63,c2031097739,eclipsefa,a8520065,04/27/2009,True,reaction,author_child
64,c2031808175,cjcollins_76,a8716865,05/01/2009,True,fussy,author_child
65,c2032135272,~I~Digress~,a8717935,05/03/2009,True,"reaction, seizure","author_child, author"
66,c2032154723,badpoodle06,a8552635,05/03/2009,True,fever,unclear
67,c2032351939,unitryb4,a8853395,05/04/2009,True,reaction,unclear
68,c2032641688,Momma Jax,a8921365,05/06/2009,False,,
69,c2033517176,BabyGold123,a9038175,05/11/2009,True,fever,author_child
70,c2036217084,Moogly&Max'sMom,a9678075,05/24/2009,True,"fever, lethargy","unclear, author_child"
71,c2037022101,emrandall,a5489565,05/28/2009,False,,
72,c2037358659,dewodahs,a9940165,05/30/2009,False,,
73,c2037379686,mommy98n09,a9942495,05/30/2009,True,reaction,author_child
74,c2038080200,EvilAsh14,a10066285,06/03/2009,True,fever,"unclear, author_child"
75,c2038088467,busymommaof4,a10095135,06/03/2009,True,reaction,author_child
76,c2038192799,MySeaPod,a10045585,06/03/2009,True,reaction,author_child
77,c2038569299,arggie,a10173855,06/05/2009,True,fussy,author_child
78,c2038812914,Lnbs36,a10260185,06/06/2009,False,,
79,c2040672649,HNN4EVER,a8622235,06/16/2009,True,fever,author_child
80,c2041030044,Am23berRN,a10754645,06/17/2009,True,fever,unclear
81,c2041044329,bellolove,a10762635,06/18/2009,True,fussy,author_child
82,c2041256739,Danielle+Al,a10754645,06/18/2009,True,fever,author_child
83,c2042442682,MrsGaddis,a11061125,06/24/2009,True,seizure,author_child
84,c2042680497,LovinMyNuke,a11066005,06/25/2009,True,"fever, fussy",author_child
85,c2044066075,msanwest,a11338315,07/01/2009,True,fussy,author_child
86,c2044334356,StephieStar,a11410765,07/02/2009,False,,
87,c2045898299,JessTurtle,a11655255,07/09/2009,True,reaction,author_child
88,c2046918864,GoingGreenMomma,a10260185,07/13/2009,True,reaction,author_child
89,c2048606334,Ressy1983,a12245905,07/20/2009,True,reaction,author
90,c2048616494,frantzk,a12254595,07/20/2009,True,"fever, fussy","author, author_child"
91,c2049510269,kwdl27,a12452475,07/24/2009,True,fever,author_child
92,c2049809607,aluminumfree,a12504795,07/25/2009,True,reaction,author_child
93,c2050678057,heatherann0977,a12627165,07/28/2009,False,,
94,c2051050438,Gracie's Mama0302,a12674975,07/29/2009,True,fever,author_child
95,c2053868508,deppolito,a13107645,08/06/2009,False,,
96,c2054228743,Odinist_mommy,a13122175,08/08/2009,True,side effect,unclear
97,c2055001271,shall1105,a13350035,08/11/2009,True,seizure,author_child
98,c2056542319,afmom12818,a13586655,08/18/2009,True,rash,author_child
99,c2057505821,mommy27_2007,a13863825,08/21/2009,True,reaction,author_child
100,c2057590095,due6/1/08,a13492985,08/22/2009,True,allergic reaction,unclear
101,c2057591404,beautifulnight,a13885375,08/22/2009,True,"reaction, rash, fever","unclear, author_child"
102,c2058246091,nuttbecky22,a14048225,08/25/2009,False,,
103,c2058435751,Victoria1139,a14094765,08/25/2009,True,lethargy,author_child
104,c2058873675,myheartisathome,a14185935,08/27/2009,True,diarrhea,author_child
105,c2059139381,Blessed*In*Calif,a14235745,08/28/2009,True,regression,author_child
106,c2059701854,meb01999,a14357145,08/31/2009,True,reaction,author_child
107,c2059741747,OFIH,a14357145,08/31/2009,True,fever,author_child
108,c2060126885,Shelsi,a14406645,09/01/2009,False,,
