,c_id,comment_author,thread_id,comment_date,CLASS
0,c2000186919,Virgo&SparklerMomma,a87195,03/21/2008,1
1,c2000274000,mlbryant_7,a124485,04/04/2008,1
2,c2000380950,pineaple35,a167455,04/16/2008,-1
3,c2000840633,Conshusmama,a363035,05/24/2008,-1
4,c2000841389,~domestic&tattooed~,a363035,05/24/2008,1
5,c2000886080,Happy 2 B Nappy,a374615,05/28/2008,-1
6,c2001534498,angelpresent,a617195,07/14/2008,1
7,c2001987820,ladyconfusion,a810115,08/08/2008,-1
8,c2001990373,Lauren&MichaelsMommy,a810115,08/08/2008,-1
9,c2002035005,e23garcia,a828545,08/12/2008,-1
10,c2002040089,OctoberFamily,a828545,08/12/2008,-1
11,c2002044156,Mommy2PrinceJoseph,a828545,08/12/2008,-1
12,c2002155971,Birmingham_Mom,a815355,08/17/2008,1
13,c2002572518,Moogly&Max'sMom,a981845,09/02/2008,-1
14,c2002676764,mckenzie'smama,a1053095,09/04/2008,-1
15,c2003152641,Sosha8281,a1221935,09/17/2008,-1
16,c2004083885,Spoiledinhouseofblue,a1394615,10/01/2008,-1
17,c2004632331,Maddysmommy,a1527705,10/06/2008,-1
18,c2007328784,gigglebaby3,a1836895,10/18/2008,-1
19,c2007524326,Lisa1970,a1846375,10/20/2008,-1
20,c2008359301,ShannonP-Momto3,a1903755,10/22/2008,-1
21,c2008658162,booprn,a1795775,10/23/2008,1
22,c2009183600,kag2525,a2108975,10/29/2008,-1
23,c2009280309,melindajoy73081,a2123775,10/30/2008,1
24,c2009518817,SydneyKatesMommy,a2255635,11/04/2008,1
25,c2009770887,EasyAsPie,a2268385,11/07/2008,-1
26,c2009796853,Alicats#1,a2361165,11/08/2008,-1
27,c2009989153,Maiadabof4,a363035,11/11/2008,-1
28,c2010356568,Janalle06,a2614905,11/18/2008,-1
29,c2010372928,pknanse,a2614905,11/18/2008,-1
30,c2010390698,uncodified,a2632625,11/18/2008,-1
31,c2010394021,1970Shannon,a2637265,11/18/2008,1
32,c2010543358,mamaorso,a2657125,11/20/2008,-1
33,c2010884283,g0ldfishie,a2872115,11/27/2008,-1
34,c2011103920,New Momma!,a2990975,12/03/2008,1
35,c2011121165,mjw82704,a2980445,12/03/2008,-1
36,c2011163571,teenyparker,a2996775,12/03/2008,1
37,c2011174633,Aries1_80,a2990975,12/04/2008,1
38,c2011295349,rejordan1979,a3045445,12/05/2008,1
39,c2011297748,D&L'sMum,a363035,12/05/2008,1
40,c2011306752,MomTo4OhMy!!,a3082205,12/05/2008,1
41,c2011315427,sarahe29,a3082205,12/06/2008,-1
42,c2011327620,tara_mommy_1,a363035,12/06/2008,1
43,c2011337090,Liz&Finn+Teague,a363035,12/06/2008,1
44,c2011447607,wolfpackchar44,a3132895,12/08/2008,-1
45,c2011482042,Sassafras,a3169635,12/09/2008,1
46,c2011523586,Brennan&Alex'sMom,a3188995,12/09/2008,-1
47,c2011605828,allikatson,a3188995,12/11/2008,1
48,c2011660916,*Michelle*,a3251025,12/11/2008,1
49,c2011735572,jlwgator,a3274815,12/12/2008,-1
50,c2011778374,ShannonAnna,a3251025,12/14/2008,1
51,c2011827116,gemini06179,a3305635,12/15/2008,-1
52,c2012028860,Mrs.MJKeenan,a3400165,12/17/2008,-1
53,c2012089894,penguinelk,a3415735,12/17/2008,-1
54,c2012094509,AriSMommy1016,a3415735,12/17/2008,1
55,c2012171056,wanda80,a3312335,12/18/2008,-1
56,c2012216274,Mommyof3girls,a3459085,12/18/2008,1
57,c2012466293,dayzieday,a3533715,12/21/2008,-1
58,c2012494987,lissy1,a3535315,12/22/2008,-1
59,c2012505875,DragoonDaddy,a3535255,12/22/2008,1
60,c2012524841,phd-to-be,a3514685,12/22/2008,-1
61,c2012528321,ekohlby,a3533715,12/22/2008,-1
62,c2012528954,MerelyMagic,a3535255,12/22/2008,-1
63,c2013286635,~Indigo*Eyes~,a3690675,12/31/2008,-1
64,c2013455913,Jenbar13,a3831865,01/02/2009,-1
65,c2013691317,meridith820,a3906925,01/04/2009,1
66,c2013740185,34Elizabeth,a3918015,01/05/2009,1
67,c2013741568,oface,a3918015,01/05/2009,-1
68,c2013872294,flowerchild08,a3957055,01/06/2009,1
69,c2013976866,bethany000,a3957925,01/07/2009,-1
70,c2013991603,anonymous0808,a4006155,01/07/2009,-1
71,c2014025144,**ErinTheresa**,a3984125,01/07/2009,-1
72,c2014223711,Nurse80,a4030935,01/08/2009,-1
73,c2014296775,MaryJo'sMom,a4060245,01/09/2009,1
74,c2014639138,krystal's kids,a4206295,01/12/2009,-1
75,c2014660899,2FeistyGirls,a4174305,01/12/2009,-1
76,c2014667679,HorseyMommy,a4202545,01/12/2009,-1
77,c2014802550,marley211,a4206295,01/13/2009,1
78,c2015580034,Proud mom of James,a4441085,01/20/2009,1
79,c2015599423,afmom12818,a4506575,01/20/2009,-1
80,c2015601814,PSU4EVR,a4506085,01/20/2009,-1
81,c2016047986,DameCatoe,a4653285,01/23/2009,1
82,c2016087297,anonymous0808,a4643285,01/23/2009,-1
83,c2016176132,jenpguard,a4689045,01/24/2009,-1
