,sent,c_id,comment_author,thread_id,comment_date,pattern_matched,text_short,negations,amod_subj_xcomp_lemma,amod_subj_xcomp_lower,compound_subj_xcomp_lemma,compound_subj_xcomp_lower,pos_subj_xcomp_lemma,pos_subj_xcomp_lower,subject_xcomp_lemma,subject_xcomp_lower,verb_xcomp_lemma,verb_xcomp_lower,verb_phrase_xcomp,verb_tense_xcomp,amod_subj_lemma,amod_subj_lower,compound_subj_lemma,compound_subj_lower,pos_subj_lemma,pos_subj_lower,subject_lemma,subject_lower,subject_active,verb_lemma,verb_lower,verb_phrase,verb_tense,dobj_amod_lemma,dobj_amod_lower,compound_dobj_lemma,compound_dobj_lower,pos_dobj_lemma,pos_dobj_lower,dobj_lemma,dobj_lower
0,"plus he is a brand new baby, i would like to delay injecting him with unnecessary stuff, thanks.",c2420670102,ohbabyLiam,a42201085,05/23/2013,delay_verbs,i would like to delay,1,,,,,,,i,i,like,like,would like,Conditional,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,,
1,"so far i am only planning on the dtap, polio, and hib vaccines, and only one injection at a time and i am spacing them out-at least 2 months in between each.",c2420670102,ohbabyLiam,a42201085,05/23/2013,delay_verbs,i am spacing them,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,space,spacing,am spacing,PresentContinuous,,,,,,,them,them
2,"you should post this to the none and selected and delayed vaccine board, you will get a lot of support and help there.",c2471479210,Rach3740,a52858753,10/09/2014,delay_verbs,delayed,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delayed,delayed,PastParticipe,,,,,,,,
3,"i found a pedi favorable to selective and delay but that is not the case for most mainstream ped, though, i think.",c2471479210,Rach3740,a52858753,10/09/2014,delay_verbs,delay,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delay,delay,Infinite,,,,,,,,
4,japan had the highest incidence in sids until they delayed their vaccination schedule to after 2 years of age.,c2063817359,haileycakes,a15243575,09/17/2009,schedule_noun,they delayed their vaccination schedule,1,,,,,,,,,,,,,,,,,,,they,they,ACTIVE,delay,delayed,delayed,PastSimple,,,vaccination,vaccination,their,their,schedule,schedule
5,japan had the highest incidence in sids until they delayed their vaccination schedule to after 2 years of age.,c2063817359,haileycakes,a15243575,09/17/2009,delay_verbs,they delayed their vaccination schedule,1,,,,,,,,,,,,,,,,,,,they,they,ACTIVE,delay,delayed,delayed,PastSimple,,,vaccination,vaccination,their,their,schedule,schedule
6,i have decided to talk it out with my pedi... my biggest issue with the current vax schedule is that it starts so early and has so many per visit.,c2345789374,dawnnrose,a27819267,05/24/2011,schedule_noun,my biggest issue with the current vax schedule is,1,,,,,,,,,,,,,big,biggest,,,my,my,issue,issue,ACTIVE,be,is,is,PresentSimple,current,current,vax,vax,,,schedule,schedule
7,so i know i wont be doing any shots at 2m but idk my exact schedule yet...,c2345789374,dawnnrose,a27819267,05/24/2011,schedule_noun,i wont be doing any shots at 2m but idk my exact schedule,-1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,do,doing,wo be doing,Undetermined,exact,exact,,,my,my,schedule,schedule
8,i will be vaccinating my baby on schedule.,c2379458968,skipper91,a32712217,04/16/2012,schedule_noun,i will be vaccinating my baby on schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vaccinate,vaccinating,will be vaccinating,Future,,,,,,,schedule,schedule
9,"all the others we do, mmr is delayed if we can not get it separate from varicella and that is only because of a potential life threatening reaction the risks of the diseases the vaccines protect against far outweigh the risks of the vaccines themselves...plus with more and more people not vaccinating herd immunity is becoming less and less of a real thing , plus the more i parent the more i have accepted that it takes a village and if my vaccinated kiddo can help an immunosuppressed kiddo stay safe then lets do it.",c2551419781,mulletluvr1011,a65909122,03/14/2017,delay_verbs,mmr is delayed,1,,,,,,,,,,,,,,,,,,,mmr,mmr,PASSIVE,delay,delayed,is delayed,PresentPassive,,,,,,,,
